ticker,candle_index,score,ret_1,ret_2,ret_3,ret_6,ret_10
ADP,779,67,0.081,0.177,-1.004,-0.935,-0.17
ADP,785,37,0.385,0.54,0.139,1.594,2.744
ADP,911,77,0.462,1.161,1.433,-0.156,1.297
ADP,947,72,0.75,1.538,1.494,0.141,-3.641
ADP,962,62,0.176,0.334,-0.726,0.133,2.383
ADP,968,45,0.298,0.654,1.775,1.695,3.438
ADP,1044,79,-0.168,0.354,-3.812,-2.362,-0.57
ADP,1052,84,0.438,1.654,2.31,0.504,1.239
ADP,1079,71,0.408,-0.331,0.169,0.789,2.293
ADP,1109,55,-0.623,-0.709,-0.66,-0.293,-1.34
ADP,1115,68,-0.64,-1.099,-1.142,-0.771,1.32
ADP,1122,56,0.43,1.151,1.521,1.142,-0.489
ADP,1165,88,0.462,0.347,0.319,-0.588,-0.722
ADP,1210,75,-0.351,0.351,-0.397,-1.146,-1.197
ADP,1220,74,-0.664,-6.166,-7.154,-7.211,-8.653
ADP,1235,86,0.158,-2.774,-3.052,-2.124,-1.983
ADP,1240,76,-0.01,0.221,-0.704,0.367,0.575
ADP,1341,60,-0.017,0.098,0.179,-0.591,-2.643
ADP,1354,64,0.299,1.729,1.461,1.492,3.771
ADP,1389,84,0.102,-0.593,-0.799,-0.399,-1.963
ADP,1437,83,-0.028,1.727,1.783,0.967,0.624
ADP,1454,98,1.841,2.251,4.625,2.112,2.715
ADP,1496,79,-1.249,-0.802,-0.837,-4.668,-4.616
ADP,1509,77,-0.981,-1.071,-1.56,-0.686,-0.881
ADP,1530,80,-0.183,1.9,1.581,2.113,2.118
ADP,1549,76,6.451,7.982,6.948,7.52,5.713
ADP,1630,80,0.576,0.752,1.31,6.253,8.477
ADSK,75,83,-0.191,0.186,2.117,1.077,3.289
ADSK,127,87,0.484,-0.526,-0.13,3.137,2.598
ADSK,206,76,0.115,0.145,0.096,1.461,2.326
ADSK,301,60,-0.287,-0.298,-0.264,-0.258,-0.828
ADSK,313,45,0.4,0.303,1.684,1.422,-4.19
ADSK,334,75,0.52,1.298,2.259,-0.076,0.51
ADSK,394,73,-0.42,-1.814,-1.796,-0.322,-1.252
ADSK,452,98,0.492,2.942,2.506,2.456,-1.485
ADSK,529,53,-0.554,-3.297,-2.883,-8.473,-4.578
ADSK,542,72,-0.23,0.472,0.364,2.223,4.501
ADSK,726,76,0.023,0.595,0.291,1.243,1.473
ADSK,766,73,0.639,0.968,1.192,-0.615,0.104
ADSK,787,72,-1.451,-1.266,-1.046,0.25,-3.666
ADSK,793,70,-0.449,-0.215,-3.36,-4.067,-3.692
ADSK,805,88,0.306,-0.378,0.18,0.337,1.782
ADSK,868,62,-0.223,-0.236,-3.773,-2.596,-4.32
ADSK,889,80,-0.871,-1.182,-0.151,-6.384,-6.163
ADSK,921,76,0.428,1.972,2.913,6.701,5.611
ADSK,960,97,-0.362,0.533,1.035,3.233,1.008
ADSK,1093,83,-0.337,-0.657,0.372,1.343,2.111
