rsi,vol,depth,mom,trend,ex_3,ex_6,ex_10
41.9748,1.0762,1.0490,1.0000,-2.9877,-2.2061169071259346,-2.639901197302464,-2.7420895602133744
46.6112,0.8208,1.1384,1.0000,-2.6786,-1.3820769624054452,-1.3676777472424801,0.22314100801383183
54.0035,1.4239,0.0238,1.0000,1.3456,-0.4290359241515461,-0.18191659240508548,0.2223567668247983
45.0646,0.8634,0.9980,1.0000,-2.1923,0.7228757372966333,4.021521575193775,2.9492261515738627
57.3105,1.5288,0.0734,1.0000,0.9076,-0.5084812778897517,-1.5708019029557436,0.2779972194482494
60.1200,1.4189,0.0566,1.0000,0.9735,1.3744587557952914,0.3758732932384038,-0.22141503302705703
20.5449,1.4153,3.7385,1.0000,-11.2516,-0.04098354040632737,3.133338217328684,2.477969465814993
52.5337,0.9818,0.8348,1.0000,-1.0722,-2.647679891807788,-4.680265443344046,-7.17684483017564
38.9739,1.4907,1.5191,1.0000,-4.6909,-2.9749298768495547,-1.7302609196414027,-2.6397248413356733
35.7576,1.3638,1.6938,1.0000,-5.4586,-0.11980240551764601,-0.5865212168774233,0.24939620116317004
42.7288,1.4519,1.1996,1.0000,-3.5504,-0.017197889822131357,-4.694483483417989,-7.79184176776931
35.9914,2.1722,2.7793,1.0000,-7.0216,-0.46911107465055435,-2.392923767353917,-5.744678322738991
29.8714,1.3351,2.7987,1.0000,-8.6492,-5.080157820288591,-3.079069156328996,-2.50513201424722
30.3150,1.3451,3.1185,1.0000,-9.3668,1.0794498653908113,3.390251280606659,4.748078574417473
54.6535,0.9167,0.3712,1.0000,0.2718,-0.8207104587286594,2.7383917262301596,2.908717701736079
50.3750,0.5110,0.2926,1.0000,-0.3101,1.9114321908041507,1.6198145201851561,3.011400046081118
43.0353,0.6477,1.6027,1.0000,-3.4306,-0.20916233008224794,-0.9426264958753786,-7.244635126387229
33.1445,1.2461,2.2937,1.0000,-6.7766,-1.105375701031587,-1.1803529079564083,-1.264054816293332
55.5030,0.9731,0.1250,1.0000,0.8025,1.5868834135333785,1.0339274864410415,-0.9312342693230626
56.1453,0.7971,0.3699,1.0000,0.6492,1.3311199553191697,1.3652754985251399,-1.4058478062850834
50.0833,0.6318,0.6910,1.0000,-1.0251,-0.1653598549321803,-1.9892483337045768,-1.8663852631315383
43.7395,0.5649,0.6516,1.0000,-2.2907,-2.3596221550826093,0.5017345339394882,-1.3989728594851882
49.3414,0.7497,0.6612,-0.1777,-1.6161,-0.03931136442353465,-1.6810641732579539,0.14464440720410174
54.7529,1.0009,0.0956,1.0000,1.1524,0.5976521297375122,-2.739517962993612,-5.198944623162556
45.8061,1.7291,2.9723,1.0000,-5.5512,-0.2176643385196867,1.6571224668174152,-0.41247692955728854
49.8529,1.2761,1.1670,1.0000,-1.0643,0.9618063715549282,0.33327045771271735,1.7808865258474957
32.8447,1.0577,1.3847,1.0000,-4.2510,-2.2904982488493055,-3.2230392085971364,-4.443929574287093
40.1117,1.3416,1.8682,1.0000,-5.0349,0.6850904051535974,1.5121463400012054,2.2686574556215517
60.1588,2.1710,0.1565,1.0000,1.3184,-0.7952240172813388,-2.6774671448990177,-2.5757752834474528
53.6617,1.4304,0.2014,1.0000,0.5905,1.7184119246364302,4.370346755323015,3.528225100212827
52.1341,1.1870,0.2224,1.0000,-0.2210,-0.40036318116102454,-2.34307851251965,-4.548802496766586
38.4134,0.7229,1.2643,1.0000,-3.7018,-0.8079227560560135,0.3263424665074651,1.095764455451924
59.8539,1.8313,0.0391,1.0000,2.1362,1.3078951196346154,0.5831133916494898,-0.740566685325579
51.9870,1.7219,1.0796,1.0000,-0.3456,0.5214355484414498,0.10855946831948868,-2.7714562706118677
